11:14:16.259 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
11:14:16.259 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
11:14:16.259 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
11:14:16.259 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\MayukhjitChakraborty\Desktop\UAT_TESTNEXT\UAT_NEXT_FRAMEWORK\authortest.xml

11:14:16.391 [main] INFO  org.testng.internal.Utils - [Utils] DynamicGraphHelper.createDynamicGraph() took 2 ms.
11:14:19.968 [main] INFO  testCases.authorTabTestCase.TC004 - ****** Starting the Log in Test Case *****************
11:14:33.817 [main] INFO  testCases.authorTabTestCase.TC004 - Logged in successfully
11:14:33.817 [main] INFO  testCases.authorTabTestCase.TC004 - Navigated to Author Test Case tab
11:14:33.929 [main] INFO  testCases.authorTabTestCase.TC004 - Click on the Epic Drop Down
11:14:34.013 [main] INFO  testCases.authorTabTestCase.TC004 - selected the epic from the dropdown
11:14:34.093 [main] INFO  testCases.authorTabTestCase.TC004 - Verified the desired epic selected successfully
11:14:34.093 [main] INFO  testCases.authorTabTestCase.TC004 - ************ Test Case Finished *************************
11:14:42.681 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.internal.ExitCodeListener@4c6a4ffd: 0 ms
11:17:45.909 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
11:17:45.913 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 2 ms.
11:17:45.915 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
11:17:45.915 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
11:17:45.915 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
11:17:45.915 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
11:17:45.917 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
11:17:45.917 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
11:17:45.923 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 4 ms.
11:17:45.931 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 7 ms.
11:17:45.936 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
11:17:45.936 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
11:17:45.937 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
